centro_custo;grupo;subgrupo;detalhe;inventariavel;tipo_estoque;forca_capex
ADMINISTRACAO | SILVEIRA;OVOS_3AMORES;FILIAL;Admin Silveira;N;;N
ADMINISTRAÇAO TRES AMORES | FAZENDA;OVOS_3AMORES;MATRIZ;Admin Fazenda;N;;N
ADMNISTRAÇÃO FILIAL GOIAIS;OVOS_3AMORES;FILIAL;Admin Filial Goiás;S;RACAO;N
ALMOXARIFADO TRES AMORES | FAZENDA;OVOS_3AMORES;MATRIZ;Almoxarifado Fazenda;S;ALMOXARIFADO;N
ALMOXARIFADO | SILVEIRA;OVOS_3AMORES;FILIAL;Almoxarifado Silveira;S;ALMOXARIFADO;N
CARTÃO CORPORATIVO;OUTROS;—;Cartão Corporativo;N;;N
CONDICIONADOR DE SOLO TRÊS AMORES | FAZENDA;COMPOSTAGEM;—;Compostagem;N;;N
COZINHA INDUSTRIAL TRÊS AMORES | FAZENDA;OUTROS;—;Cozinha Industrial;N;;N
CUSTOS REAPROPRIAÇÃO | ALFA MIX;OUTROS;—;Reaprop. Alfa Mix;N;;N
CUSTOS REAPROPRIAÇÃO | CAVACO;OUTROS;—;Reaprop. Cavaco;N;;N
DIRETORIA | TRÊS AMORES;OUTROS;—;Diretoria;N;;N
ENTREPOSTO | FAZENDA;OVOS_3AMORES;MATRIZ;Entreposto;N;;N
FROTA TRÊS AMORES | FAZENDA;OUTROS;—;Frota;N;;N
GALPAO 1 | FAZENDA;OVOS_3AMORES;MATRIZ;Galpão 1 Fazenda;N;;N
GALPAO 1 | SILVEIRA;OVOS_3AMORES;FILIAL;Galpão 1 Silveira;N;;N
GALPAO 2 | FAZENDA;OVOS_3AMORES;MATRIZ;Galpão 2 Fazenda;N;;N
GALPAO 2 | SILVEIRA;OVOS_3AMORES;FILIAL;Galpão 2 Silveira;N;;N
GALPAO 3A | SILVEIRA;OVOS_3AMORES;FILIAL;Galpão 3A Silveira;N;;N
GALPAO 3B | SILVEIRA;OVOS_3AMORES;FILIAL;Galpão 3B Silveira;N;;N
GALPAO 4B | SILVEIRA;OVOS_3AMORES;FILIAL;Galpão 4B Silveira;N;;N
GALPAO 5 | SILVEIRA;OVOS_3AMORES;FILIAL;Galpão 5 Silveira;N;;N
GALPAO 6  | SILVEIRA;OVOS_3AMORES;FILIAL;Galpão 6 Silveira;N;;N
GALPAO 7 | SILVEIRA;OVOS_3AMORES;FILIAL;Galpão 7 Silveira;N;;N
GALPAO RECRIA | FAZENDA;OVOS_3AMORES;MATRIZ;Galpão Recria;N;;N
GALPÃO 4A | SILVEIRA;OVOS_3AMORES;FILIAL;Galpão 4A Silveira;N;;N
HARAS TRÊS AMORES | FAZENDA;PARTICULAR;—;Haras;N;;N
MÃO DE OBRA OPERÁRIA;OUTROS;—;MO Operária;N;;N
OP. FINANCEIRAS;OUTROS;—;Op. Financeiras;N;;N
OVOS TRES AMORES | FAZENDA;OVOS_3AMORES;MATRIZ;Ovos Fazenda;N;;N
PARTICULAR - IGDA;PARTICULAR;—;Particular IGDA;N;;N
PARTICULAR TRÊS AMORES | FAZENDA;PARTICULAR;—;Particular Fazenda;N;;N
PLANTAÇÕES DURVAL;PLANTACAO;—;Plantações Durval;N;;N
PLANTAÇÕES GELSON;PLANTACAO;—;Plantações Gelson;N;;N
PLANTAÇÕES ROMENIQUE;PLANTACAO;—;Plantações Romenique;N;;N
RAÇÕES TRES AMORES | FAZENDA;OVOS_3AMORES;MATRIZ;Ração Fazenda;S;RACAO;N
SALA DE CLASSIFICAÇAO DE OVOS;OVOS_3AMORES;MATRIZ;Sala de Classificação;N;;N
TANQUE TRES AMORES | FAZENDA;OUTROS;—;Tanque Fazenda;N;;N
TANQUE TRES AMORES | SERRARIA;OUTROS;—;Tanque Serraria;N;;N
ADIANTAMENTO A FORNECEDOR | ADTN;OUTROS;—;Adiantamento a Fornecedor;N;;S
CONDICIONADOR DE SOLO - REFORMAS E BENFEITORIAS;COMPOSTAGEM;—;Reformas Compostagem;N;;S
ESCRITÓRIO - REFORMAS E BENFEITORIAS;OUTROS;—;Reformas Escritório;N;;S
GADO - REFORMAS E BENFEITORIAS;OUTROS;—;Reformas Gado;N;;S
GALPÃO DE LEGUMES - REFORMAS E BENFEITORIAS;PLANTACAO;—;Reformas Galpão Legumes;N;;S
OVOS FAZENDA - REFORMAS E BENFEITORIAS;OVOS_3AMORES;MATRIZ;Reformas Ovos Fazenda;N;;S
OVOS SILVEIRA - REFORMAS E BENFEITORIAS;OVOS_3AMORES;FILIAL;Reformas Ovos Silveira;N;;S
PARTICULAR - REFORMAS E BENFEITORIAS;PARTICULAR;—;Reformas Particular;N;;S
PATRIMÔNIO TRÊS AMORES AGRO;OVOS_3AMORES;—;Patrimônio/Imobilizado;N;;S
PLANTAÇÃO DURVAL - REFORMAS E BENFEITORIAS;PLANTACAO;—;Reformas Plantação Durval;N;;S
PLANTAÇÕES ROMENIQUE - REFORMAS E BENFEITORIAS;PLANTACAO;—;Reformas Plantação Romenique;N;;S
PLATANÇÕES GELSON - REFORMAS E BENFEITORIAS;PLANTACAO;—;Reformas Plantação Gelson;N;;S
RAÇÃO - REFORMAS E BENFEITORIAS;OVOS_3AMORES;MATRIZ;Reformas Ração;N;;S
RECRIA BANQUETE - REFORMAS E BENFEITORIA;OVOS_3AMORES;MATRIZ;Reformas Recria;N;;S
;SEMCC;—;Sem Centro de Custo;N;;N
