produto_original;grupo;cor;tipo;linha_id;unidade;marca
1/2 DUZIA OVOS CAIPIRA TIPO EXTRA;OVOS_3AMORES;Caipira;Extra;CAI_EXT;Fazenda (MATRIZ);—
1/2 DUZIA OVOS CAIPIRA TIPO GRANDE;OVOS_3AMORES;Caipira;Grande;CAI_GR;Fazenda (MATRIZ);—
ABACATE;PLANTACAO;Plantação;Abacate;PLT_ABA;—;—
ABOBORA SERGIPANA;PLANTACAO;Plantação;Abóbora;PLT_ABO;—;—
BANANA D AGUA;PLANTACAO;Plantação;Banana D'Água;PLT_BDA;—;—
BANANA PRATA;PLANTACAO;Plantação;Banana Prata;PLT_BNP;—;—
BANANA PRATA VITORIA;PLANTACAO;Plantação;Banana Prata Vitória;PLT_BNV;—;—
CHUCHU;PLANTACAO;Plantação;Chuchu;PLT_CHU;—;—
CRIVO 20UN OVOS CAIPIRA TIPO EXTRA;OVOS_3AMORES;Caipira;Extra;CAI_EXT;Fazenda (MATRIZ);—
CRIVO 20UN OVOS CAIPIRA TIPO GRANDE;OVOS_3AMORES;Caipira;Grande;CAI_GR;Fazenda (MATRIZ);—
CRIVO 30UN OVOS CAIPIRA TIPO EXTRA;OVOS_3AMORES;Caipira;Extra;CAI_EXT;Fazenda (MATRIZ);—
CRIVO 30UN OVOS CAIPIRA TIPO GRANDE;OVOS_3AMORES;Caipira;Grande;CAI_GR;Fazenda (MATRIZ);—
CRIVO 30UN OVOS CAIPIRA TIPO JUMBO;OVOS_3AMORES;Caipira;Jumbo;CAI_JUM;Fazenda (MATRIZ);—
CX CHUCHU 20KG;PLANTACAO;Plantação;Chuchu;PLT_CHU;—;—
CX JILO 13KG;PLANTACAO;Plantação;Jiló;PLT_JILO;—;—
CX OVOS BRANCO TIPO A 10 CRIVO DE 30 - GRANJAS BOM JARDIM;OVOS_3AMORES;Branco;Tipo A;BRA_TA;Silveira (FILIAL);BOM_JARDIM
CX OVOS BRANCO TIPO GRANDE 10 CRIVO DE 20 UND.;OVOS_3AMORES;Branco;Grande;BRA_GR;Silveira (FILIAL);—
CX OVOS BRANCO TIPO GRANDE 10 CRIVO DE 30 - GRANJAS BOM JARDIM;OVOS_3AMORES;Branco;Grande;BRA_GR;Silveira (FILIAL);BOM_JARDIM
CX OVOS BRANCO TIPO GRANDE 10 CRIVO DE 30 - PAPELAO BJ;OVOS_3AMORES;Branco;Grande;BRA_GR;Silveira (FILIAL);BOM_JARDIM
CX OVOS BRANCO TIPO GRANDE 10 CRIVO DE 30 - TRES AMORES;OVOS_3AMORES;Branco;Grande;BRA_GR;Silveira (FILIAL);TRES_AMORES
CX OVOS BRANCO TIPO GRANDE 12 CRIVO DE 20 - GRANJAS BOM JARDIM;OVOS_3AMORES;Branco;Grande;BRA_GR;Silveira (FILIAL);BOM_JARDIM
CX OVOS BRANCO TIPO GRANDE 12 CRIVO DE 20 - TRES AMORES;OVOS_3AMORES;Branco;Grande;BRA_GR;Silveira (FILIAL);TRES_AMORES
CX OVOS BRANCO TIPO GRANDE 12 CRIVO DE 30 UND.;OVOS_3AMORES;Branco;Grande;BRA_GR;Silveira (FILIAL);—
CX OVOS BRANCO TIPO MEDIO 10 CRIVO 30 - GRANJAS BOM JARDIM;OVOS_3AMORES;Branco;Médio;BRA_MED;Silveira (FILIAL);BOM_JARDIM
CX OVOS BRANCOS TIPO 1 12 CRIVOS 30 OVOS PAPELÃƒO;OVOS_3AMORES;Branco;Tipo 1;BRA_T1;Silveira (FILIAL);—
CX OVOS CAIPIRA TIPO A 10 CRIVO DE 30 - TRES AMORES;OVOS_3AMORES;Caipira;Tipo A;CAI_TA;Fazenda (MATRIZ);TRES_AMORES
CX OVOS CAIPIRA TIPO EXTRA 10 CRIVO DE 20;OVOS_3AMORES;Caipira;Extra;CAI_EXT;Fazenda (MATRIZ);—
CX OVOS CAIPIRA TIPO EXTRA 10 CRIVO DE 30 UND.;OVOS_3AMORES;Caipira;Extra;CAI_EXT;Fazenda (MATRIZ);—
CX OVOS CAIPIRA TIPO EXTRA 12 CRIVO 20 - TRES AMORES;OVOS_3AMORES;Caipira;Extra;CAI_EXT;Fazenda (MATRIZ);TRES_AMORES
CX OVOS CAIPIRA TIPO EXTRA 20 DUZIA - TRES AMORES;OVOS_3AMORES;Caipira;Extra;CAI_EXT;Fazenda (MATRIZ);TRES_AMORES
CX OVOS CAIPIRA TIPO EXTRA 25 DUZIA;OVOS_3AMORES;Caipira;Extra;CAI_EXT;Fazenda (MATRIZ);—
CX OVOS CAIPIRA TIPO EXTRA 30 1/2 DUZIAS;OVOS_3AMORES;Caipira;Extra;CAI_EXT;Fazenda (MATRIZ);—
CX OVOS CAIPIRA TIPO GRANDE 10 CRIVO DE 20 - TRES AMORES;OVOS_3AMORES;Caipira;Grande;CAI_GR;Fazenda (MATRIZ);TRES_AMORES
CX OVOS CAIPIRA TIPO GRANDE 10 CRIVO DE 30 - TRES AMORES;OVOS_3AMORES;Caipira;Grande;CAI_GR;Fazenda (MATRIZ);TRES_AMORES
CX OVOS CAIPIRA TIPO GRANDE 12 CRIVO DE 20 - TRÃŠS AMORES;OVOS_3AMORES;Caipira;Grande;CAI_GR;Fazenda (MATRIZ);TRES_AMORES
CX OVOS CAIPIRA TIPO GRANDE 20 DEZENAS - TRES AMORES;OVOS_3AMORES;Caipira;Grande;CAI_GR;Fazenda (MATRIZ);TRES_AMORES
CX OVOS CAIPIRA TIPO GRANDE 20 DUZIA - TRES AMORES;OVOS_3AMORES;Caipira;Grande;CAI_GR;Fazenda (MATRIZ);TRES_AMORES
CX OVOS CAIPIRA TIPO GRANDE 25 DUZIA;OVOS_3AMORES;Caipira;Grande;CAI_GR;Fazenda (MATRIZ);—
CX OVOS CAIPIRA TIPO GRANDE 30 1/2 DUZIAS;OVOS_3AMORES;Caipira;Grande;CAI_GR;Fazenda (MATRIZ);—
CX OVOS CAIPIRA TIPO JUMBO 10 CRIVO DE 30 UND.;OVOS_3AMORES;Caipira;Jumbo;CAI_JUM;Fazenda (MATRIZ);—
CX OVOS CAIPIRA TIPO JUMBO 20 DUZIA;OVOS_3AMORES;Caipira;Jumbo;CAI_JUM;Fazenda (MATRIZ);—
CX OVOS CAIPIRA TIPO JUMBO 25 DUZIA;OVOS_3AMORES;Caipira;Jumbo;CAI_JUM;Fazenda (MATRIZ);—
CX OVOS CAIPIRA TIPO PEQUENO 12 CRIVO DE 20 UND.;OVOS_3AMORES;Caipira;Pequeno;CAI_PEQ;Fazenda (MATRIZ);—
CX OVOS VERMELHO 12 CRIVOS 30 OVOS PAPELÃƒO TIPO 1;OVOS_3AMORES;Vermelho;Tipo 1;VER_T1;Silveira (FILIAL);—
CX OVOS VERMELHO TIPO 2 12 CRIVOS 30 OVOS PAPELÃƒO;OVOS_3AMORES;Vermelho;Tipo 2;VER_T2;Silveira (FILIAL);—
CX OVOS VERMELHO TIPO A 10 CRIVO DE 30 - GRANJAS BOM JARDIM;OVOS_3AMORES;Vermelho;Tipo A;VER_TA;Silveira (FILIAL);BOM_JARDIM
CX OVOS VERMELHO TIPO A 10 CRIVO DE 30 - TRES AMORES;OVOS_3AMORES;Vermelho;Tipo A;VER_TA;Silveira (FILIAL);TRES_AMORES
CX OVOS VERMELHO TIPO EXTRA 10 CRIVO DE 20 - TRES AMORES;OVOS_3AMORES;Vermelho;Extra;VER_EXT;Silveira (FILIAL);TRES_AMORES
CX OVOS VERMELHO TIPO EXTRA 10 CRIVO DE 30 - TRES AMORES;OVOS_3AMORES;Vermelho;Extra;VER_EXT;Silveira (FILIAL);TRES_AMORES
CX OVOS VERMELHO TIPO EXTRA 10 CRIVO DE 30 ACRILICO;OVOS_3AMORES;Vermelho;Extra;VER_EXT;Silveira (FILIAL);—
CX OVOS VERMELHO TIPO EXTRA 12 CRIVO DE 20 - TRES AMORES;OVOS_3AMORES;Vermelho;Extra;VER_EXT;Silveira (FILIAL);TRES_AMORES
CX OVOS VERMELHO TIPO EXTRA 12 CRIVOS 30 GRANEL - GRANJAS BOM JARDIM;OVOS_3AMORES;Vermelho;Extra;VER_EXT;Silveira (FILIAL);BOM_JARDIM
CX OVOS VERMELHO TIPO EXTRA 12 CRIVOS 30 GRANEL - TRES AMORES;OVOS_3AMORES;Vermelho;Extra;VER_EXT;Silveira (FILIAL);TRES_AMORES
CX OVOS VERMELHO TIPO EXTRA 20 DUZIA - TRES AMORES;OVOS_3AMORES;Vermelho;Extra;VER_EXT;Silveira (FILIAL);TRES_AMORES
CX OVOS VERMELHO TIPO GRANDE 10 CRIVO DE 20 - TRES AMORES;OVOS_3AMORES;Vermelho;Grande;VER_GR;Silveira (FILIAL);TRES_AMORES
CX OVOS VERMELHO TIPO GRANDE 10 CRIVO DE 30 - TRES AMORES;OVOS_3AMORES;Vermelho;Grande;VER_GR;Silveira (FILIAL);TRES_AMORES
CX OVOS VERMELHO TIPO GRANDE 10 CRIVO DE 30 ACRILICO;OVOS_3AMORES;Vermelho;Grande;VER_GR;Silveira (FILIAL);—
CX OVOS VERMELHO TIPO GRANDE 10 CRIVOS 30 OVOS ACRILICO;OVOS_3AMORES;Vermelho;Grande;VER_GR;Silveira (FILIAL);—
CX OVOS VERMELHO TIPO GRANDE 12 CRIVO DE 20 - TRES AMORES;OVOS_3AMORES;Vermelho;Grande;VER_GR;Silveira (FILIAL);TRES_AMORES
CX OVOS VERMELHO TIPO GRANDE 12 CRIVOS 30 GRANEL - TRES AMORES;OVOS_3AMORES;Vermelho;Grande;VER_GR;Silveira (FILIAL);TRES_AMORES
CX OVOS VERMELHO TIPO GRANDE 20 DUZIA;OVOS_3AMORES;Vermelho;Grande;VER_GR;Silveira (FILIAL);—
CX OVOS VERMELHO TIPO GRANDE 8 CRIVOS 30 OVOS ACRILICO;OVOS_3AMORES;Vermelho;Grande;VER_GR;Silveira (FILIAL);—
CX OVOS VERMELHO TIPO JUMBO 10 CRIVO DE 20 UND.;OVOS_3AMORES;Vermelho;Jumbo;VER_JUM;Silveira (FILIAL);—
CX OVOS VERMELHO TIPO JUMBO 12 CRIVOS 30 OVOS DE PAPELÃƒO A GRANEL;OVOS_3AMORES;Vermelho;Jumbo;VER_JUM;Silveira (FILIAL);—
CX OVOS VERMELHO TIPO MEDIO 12 CRIVO DE 20 UND.;OVOS_3AMORES;Vermelho;Médio;VER_MED;Silveira (FILIAL);—
CX PIMENTAO EXTRA 10KG;PLANTACAO;Plantação;Pimentão;PLT_PIM;—;—
CX PIMENTAO EXTRA A 10KG;PLANTACAO;Plantação;Pimentão;PLT_PIM;—;—
CX PIMENTAO EXTRA AA 10KG;PLANTACAO;Plantação;Pimentão;PLT_PIM;—;—
CX PIMENTAO MADURO 10KG;PLANTACAO;Plantação;Pimentão;PLT_PIM;—;—
DEZENA OVOS CAIPIRA TIPO EXTRA;OVOS_3AMORES;Caipira;Extra;CAI_EXT;Fazenda (MATRIZ);—
DEZENA OVOS CAIPIRA TIPO GRANDE;OVOS_3AMORES;Caipira;Grande;CAI_GR;Fazenda (MATRIZ);—
DEZENA OVOS CAIPIRA TIPO JUMBO;OVOS_3AMORES;Caipira;Jumbo;CAI_JUM;Fazenda (MATRIZ);—
DUZIA OVOS CAIPIRA TIPO EXTRA;OVOS_3AMORES;Caipira;Extra;CAI_EXT;Fazenda (MATRIZ);—
DUZIA OVOS CAIPIRA TIPO GRANDE;OVOS_3AMORES;Caipira;Grande;CAI_GR;Fazenda (MATRIZ);—
DUZIA OVOS CAIPIRA TIPO JUMBO;OVOS_3AMORES;Caipira;Jumbo;CAI_JUM;Fazenda (MATRIZ);—
GALINHA - ADULTO;DESCARTE_AVES;Ativo Biológico;Descarte de poedeiras (Fazenda);DESCARTE_AVES;Fazenda (MATRIZ);—
INHAME;PLANTACAO;Plantação;Inhame;PLT_INH;—;—
JILO;PLANTACAO;Plantação;Jiló;PLT_JILO;—;—
VACA;IGNORAR;—;Gado (desconsiderado);IGNORAR;—;—
